
from	to	edge_flow
GSM1278011_16cell_2pooled_split8a	GSM1278019_8cell_12-3_smartseq2	0.296296296296296
GSM1278011_16cell_2pooled_split8a	GSM1278026_8cell_2pooled_split5a	0.333333333333333
GSM1278011_16cell_2pooled_split8a	GSM1278030_8cell_2pooled_split9a	0.333333333333333
GSM1112538_16cell_6-8	GSM1278011_16cell_2pooled_split8a	0.135135135135135
GSM1278011_16cell_2pooled_split8a	GSM1278035_8cell_split4b	0.285714285714286
GSM1278011_16cell_2pooled_split8a	GSM1278017_8cell_12-1_smartseq2	0.001498542877852449
GSM1112534_16cell_6-4	GSM1278016_16cell_split2b	0.305874840357599
GSM1112531_16cell_6-12	GSM1278016_16cell_split2b	0.379310344827586
GSM1112527_16cell_5-9	GSM1112534_16cell_6-4	0.0010990118975601204
GSM1112518_16cell_5-12	GSM1112534_16cell_6-4	0.3547758284600389
GSM1112580_8cell_8-7	GSM1112527_16cell_5-9	0.1147353755339241
GSM1112581_8cell_8-8	GSM1112580_8cell_8-7	0.43476470423143904
GSM1112580_8cell_8-7	GSM1112518_16cell_5-12	0.228070175438596
GSM1112580_8cell_8-7	GSM1112512_16cell_4-7	0.180327868852459
GSM1112580_8cell_8-7	GSM1112509_16cell_4-4	0.160714285714286
GSM1112561_8cell_2-1	GSM1112581_8cell_8-8	0.08426996087955207
GSM1112546_4cell_2-4	GSM1112561_8cell_2-1	0.08098608473040109
GSM1112548_4cell_3-3	GSM1112561_8cell_2-1	0.225806451612903
GSM1112561_8cell_2-1	GSM1112558_8cell_1-6	0.179487179487179
GSM1112545_4cell_2-3	GSM1112561_8cell_2-1	0.212121212121212
GSM1112561_8cell_2-1	GSM1112579_8cell_8-6	0.142857142857143
GSM1112542_4cell_1-4	GSM1112561_8cell_2-1	0.205882352941176
GSM1112545_4cell_2-3	GSM1112546_4cell_2-4	0.021212121212121016
GSM1112553_4cell_4-4	GSM1112546_4cell_2-4	0.03163187950206292
