
from	to	edge_flow
GSM1112661_late2cell_8-2	GSM1112659_late2cell_7-2	0.1669721407624629
GSM1112660_late2cell_8-1	GSM1112659_late2cell_7-2	0.142857142857143
GSM1112658_late2cell_7-1	GSM1112659_late2cell_7-2	0.10808420557257237
GSM1112697_mid2cell_3-2	GSM1112661_late2cell_8-2	0.1669721407624629
GSM1112661_late2cell_8-2	GSM1112655_late2cell_5-2	0.140503884044884
GSM1112704_mid2cell_7-1	GSM1112661_late2cell_8-2	0.2480844162577691
GSM1112702_mid2cell_6-1	GSM1112661_late2cell_8-2	0.454545454545455
GSM1112661_late2cell_8-2	GSM1112654_late2cell_5-1	0.2516401146432049
GSM1112661_late2cell_8-2	GSM1112658_late2cell_7-1	0.3906136247972361
GSM1112607_early2cell_2-1	GSM1112697_mid2cell_3-2	0.161290322580645
GSM1112697_mid2cell_3-2	GSM1112703_mid2cell_6-2	0.636363636363636
GSM1112604_early2cell_0r-2	GSM1112697_mid2cell_3-2	0.212121212121212
GSM1112603_early2cell_0r-1	GSM1112697_mid2cell_3-2	0.242424242424242
GSM1112704_mid2cell_7-1	GSM1112660_late2cell_8-1	0.424242424242424
GSM1112702_mid2cell_6-1	GSM1112660_late2cell_8-1	0.411764705882353
GSM1112696_mid2cell_3-1	GSM1112660_late2cell_8-1	0.314285714285714
GSM1112660_late2cell_8-1	GSM1112655_late2cell_5-2	0.163237688237689
GSM1112660_late2cell_8-1	GSM1112662_late2cell_9-1	0.36309523809523697
GSM1112703_mid2cell_6-2	GSM1112660_late2cell_8-1	0.576923076923077
GSM1112660_late2cell_8-1	GSM1112658_late2cell_7-1	0.010567863509039932
GSM1112660_late2cell_8-1	GSM1112657_late2cell_6-2	0.06786350903997895
GSM1112608_early2cell_2-2	GSM1112704_mid2cell_7-1	0.354838709677419
GSM1112610_early2cell_3-2	GSM1112704_mid2cell_7-1	0.354838709677419
GSM1112609_early2cell_3-1	GSM1112704_mid2cell_7-1	0.354838709677419
GSM1112704_mid2cell_7-1	GSM1112698_mid2cell_4-1	0.16780106486314994
GSM1112704_mid2cell_7-1	GSM1112694_mid2cell_0r-1	0.434782608695652
GSM1112704_mid2cell_7-1	GSM1112657_late2cell_6-2	0.393939393939394
GSM1112769_zy4	GSM1112704_mid2cell_7-1	0.297297297297297
GSM1112704_mid2cell_7-1	GSM1112658_late2cell_7-1	0.393939393939394
GSM1112605_early2cell_1-1	GSM1112704_mid2cell_7-1	0.297297297297297
GSM1112768_zy3	GSM1112704_mid2cell_7-1	0.297297297297297
GSM1112704_mid2cell_7-1	GSM1112654_late2cell_5-1	0.393939393939394
GSM1112702_mid2cell_6-1	GSM1112704_mid2cell_7-1	0.042112616416024096
GSM1112766_zy1	GSM1112704_mid2cell_7-1	0.333333333333333
GSM1112603_early2cell_0r-1	GSM1112704_mid2cell_7-1	0.394736842105263
GSM1112604_early2cell_0r-2	GSM1112704_mid2cell_7-1	0.368421052631579
GSM1112702_mid2cell_6-1	GSM1112699_mid2cell_4-2	0.009510869565217017
GSM1112607_early2cell_2-1	GSM1112702_mid2cell_6-1	0.361111111111111
GSM1112702_mid2cell_6-1	GSM1112698_mid2cell_4-1	0.26698154383250206
GSM1112609_early2cell_3-1	GSM1112702_mid2cell_6-1	0.387096774193548
GSM1112702_mid2cell_6-1	GSM1112705_mid2cell_7-2	0.416666666666667
GSM1112610_early2cell_3-2	GSM1112702_mid2cell_6-1	0.387096774193548
GSM1112769_zy4	GSM1112702_mid2cell_6-1	0.324324324324324
GSM1112702_mid2cell_6-1	GSM1112700_mid2cell_5-1	0.434782608695652
GSM1112608_early2cell_2-2	GSM1112702_mid2cell_6-1	0.387096774193548
GSM1112766_zy1	GSM1112702_mid2cell_6-1	0.363636363636364
GSM1112702_mid2cell_6-1	GSM1112658_late2cell_7-1	0.382352941176471
GSM1112605_early2cell_1-1	GSM1112702_mid2cell_6-1	0.324324324324324
GSM1112702_mid2cell_6-1	GSM1112657_late2cell_6-2	0.382352941176471
GSM1112768_zy3	GSM1112702_mid2cell_6-1	0.324324324324324
GSM1112702_mid2cell_6-1	GSM1112654_late2cell_5-1	0.382352941176471
GSM1112702_mid2cell_6-1	GSM1112703_mid2cell_6-2	0.27078420300926487
GSM1112603_early2cell_0r-1	GSM1112702_mid2cell_6-1	0.421052631578947
GSM1112604_early2cell_0r-2	GSM1112702_mid2cell_6-1	0.394736842105263
GSM1112658_late2cell_7-1	GSM1112655_late2cell_5-2	0.05207853353753378
GSM1112705_mid2cell_7-2	GSM1112662_late2cell_9-1	0.125
GSM1112603_early2cell_0r-1	GSM1112705_mid2cell_7-2	0.125
GSM1112604_early2cell_0r-2	GSM1112603_early2cell_0r-1	0.12957106246579736
GSM1112603_early2cell_0r-1	GSM1112696_mid2cell_3-1	0.171428571428571
GSM1112603_early2cell_0r-1	GSM1112703_mid2cell_6-2	0.205128205128205
GSM1112607_early2cell_2-1	GSM1112703_mid2cell_6-2	0.135135135135135
GSM1112604_early2cell_0r-2	GSM1112696_mid2cell_3-1	0.142857142857143
GSM1112604_early2cell_0r-2	GSM1112703_mid2cell_6-2	0.179487179487179
GSM1112703_mid2cell_6-2	GSM1112658_late2cell_7-1	0.22078415378320304
GSM1112703_mid2cell_6-2	GSM1112654_late2cell_5-1	0.21016278833616797
