"","P02004.LIF14","P02005.LIF16","P02008.LIF09"
"Heatr3",2919.1996447453,3613.015277751,1885.98497842242
"9430002A10Rik",7.38570435103174,26.6502707526417,0
"Tent4b",2487.13594020994,2335.70587239224,3272.70564072469
"Adcy7",584.393856775387,188.455486036538,260.290609752529
"Brd7",1841.81002253854,2101.5642079226,4626.88997680789
"Nkd1",99.7070087389285,110.408264546659,121.169766608936
"Snx20",8.30891739491071,5.71077230413751,15.7071919678251
"Nod2",4.61606521939484,5.71077230413751,32.5363262190662
"Cyld",791.193578604275,667.208564200066,2319.05469982103
"Rps6-ps2",984.14510477498,1016.51747013648,1078.18653436285
"Sall1",7517.72381630643,6314.21057760804,1099.50343774775
"Gm6625",12.9249826143055,3.80718153609167,4.4877691336643
"Gm5356",126.480187011419,185.600099884469,99.8528632240307
"Tox3",70.1641913348015,78.9990168739022,29.170499368818
"Gm35850",0.923213043878968,1.90359076804584,1.12194228341608
"Gm35963",6.46249130715277,6.66256768816043,0
"Gm19935",36.9285217551587,43.7825876650542,39.2679799195626
"Chd9",4653.91695419388,6542.64146977354,9772.11728855401
"Gm45363",6.46249130715277,15.2287261443667,2.24388456683215
"Rbl2",300.044239260664,155.142647595736,2536.71150280375
"Aktip",1033.07539610056,1010.80669783234,1839.98534480236
"Gm36243",3.69285217551587,0.951795384022918,3.36582685024823
"Rpgrip1l",181.872969644157,164.660601435965,380.338434078049
"Fto",2320.03437926785,2380.44025544132,4240.94183131276
"Gm9619",516.999304572222,767.147079522472,594.62941021052
"Irx3",22.1571130530952,25.6984753686188,29.170499368818
"Irx3os",11.0785565265476,8.56615845620627,40.3899222029787
"Gm36843",3.69285217551587,0,2.24388456683215
"Crnde",171.717626161488,139.913921451369,525.068988638723
"Irx5",35.0820956674008,79.9508122579251,47.1215759034752
"Irx6",0.923213043878968,4.75897692011459,0
"Gm3272",3042.91019262508,4308.77770347175,3375.92433079897
"Mmp2",248.344308803442,447.343830490772,2205.738529196
"Lpcat2",83.0891739491071,78.9990168739022,472.337701318168
"Slc6a2",5.53927826327381,4.75897692011459,2.24388456683215
"Ces1b",2.7696391316369,3.80718153609167,0
"Ces1c",22.1571130530952,24.7466799845959,19.0730188180733
"Gm45910",1.84642608775794,3.80718153609167,0
"Gm45765",2.7696391316369,0,1.12194228341608
"Gm45766",0.923213043878968,1.90359076804584,1.12194228341608
"Ces5a",7.38570435103174,13.3251353763209,2.24388456683215
"Gm45708",36.0053087112797,35.216429208848,8.9755382673286
"Gm26843",2.7696391316369,0.951795384022918,3.36582685024823
"4930488L21Rik",0.923213043878968,0.951795384022918,1.12194228341608
"Gnao1",333.279908840307,189.407281420561,215.412918415886
"Amfr",1954.44201389177,1550.47468057333,3262.60816017395
"Nudt21",1852.88857906509,2506.07724613234,3127.97508616402
"Ogfod1",1611.92997461268,1490.51157137989,2708.36867216641
"Bbs2",661.020539417341,823.303007179824,2081.20293573682
"Mt4",79.3963217735912,20.9394984485042,12.3413651175768
"Mt3",65.5481261154067,244.61141369389,50.4874027537234
"Gm45774",3.69285217551587,8.56615845620627,3.36582685024823
"Mt2",6565.89116806722,5631.77328726361,2734.17334468498
"Mt1",8701.28293855927,9180.06647890105,4551.71984381902
"Gm39228",5.53927826327381,7.61436307218335,40.3899222029787
"Nup93",5678.68343289953,5871.62572403738,8110.52076681481
"C78859",28.619604360248,10.4697492242521,1.12194228341608
"Slc12a3",21.2339000092163,17.1323169124125,5.60971141708038
"Herpud1",720.106174225595,552.041322733293,1653.74292575529
"Ap3s1-ps2",224.340769662589,162.757010667919,196.339899597813
"9330175E14Rik",2.7696391316369,0.951795384022918,7.85359598391253
"Nlrc5",28.619604360248,41.8789968970084,66.1945947215484
