"","P02004.LIF14","P02005.LIF16","P02006.LIF17","P02007.LIF25"
"Atg14",1599.17020287655,1546.63858630974,1857.72557231628,1547.29262931164
"Ktn1",2606.09452609736,1736.44346190876,2410.78198964812,2133.54566335834
"4930447J18Rik",9.56950254380916,14.0997907587845,9.06649864478421,9.4404675369838
"Gm49303",0,1.08459928913727,3.62659945791368,4.7202337684919
"Gm6055",819.787384586318,872.017828466361,885.796917595417,722.19576657926
"Peli2",392.349604296176,405.640134137337,648.254653102071,669.329148372151
"Gm3534",2147.82168205494,2668.11425127767,2013.66934900657,2281.76100368898
"Tmem260",368.957486966864,295.011006645336,412.525688337682,460.694815804809
"Gm49519",8.50622448338592,3.2537978674118,5.43989918687053,8.49642078328542
"Gm49120",3.18983418126972,2.16919857827453,2.71994959343526,8.49642078328542
"Otx2",221.161836568034,890.456016381695,189.48982167599,1014.85026022576
"Otx2os1",44.6576785377761,37.9609751198043,63.4654905134895,154.823667606534
"Gm534",0,2.16919857827453,2.71994959343526,3.77618701479352
"Exoc5",2059.56960303982,1875.27217091833,1739.86108993409,1601.10329427245
"Ap5m1",1382.26147855021,1292.84235265162,1446.10653384308,1616.20804233163
"Rpl19-ps3",28.7085076314275,34.7071772523925,41.7058937660074,28.3214026109514
"Naa30",2898.49599271375,2709.32902426489,3053.59674356332,2754.72842729187
"Gm48935",2.12655612084648,1.08459928913727,5.43989918687053,3.77618701479352
"ccdc198",18.0757270271951,14.0997907587845,8.15984878030579,14.1607013054757
"Slc35f4",22.328839268888,23.8611843610198,13.5997479671763,24.5452155961579
"Armh4",413.61516550464,359.002364704435,481.431078038042,481.463844386174
"Gm8417",7.44294642296268,4.33839715654906,14.5063978316547,17.9368883202692
"Gm37194",7.44294642296268,28.1995815175689,9.97314850926263,32.0975896257449
"Gm19109",220.098558507611,137.744109720433,223.035866661692,160.487948128725
"Gm18762",69.1130739275106,53.145365167726,70.7186894293168,67.9713662662833
"Olfr747",0,0,0.906649864478421,0.94404675369838
"Ttc5",1566.20858300343,1683.29809674104,1775.22043464875,1951.34463989455
"Ccnb1ip1",72.3029081087803,150.75930119008,82.5051376675363,55.6987584682044
"Parp2",1202.56748633868,1546.63858630974,1691.80864711673,1699.28415665708
"Tep1",758.11725708177,488.069680111769,923.876211903511,801.495693889924
"Gm26782",152.048762640523,137.744109720433,164.103625470594,196.361724769263
"Klhl33",3.18983418126972,2.16919857827453,3.62659945791368,3.77618701479352
"Osgep",770.876593806849,855.748839129302,954.702307295777,1081.87757973834
"Apex1",795.331989196583,1187.63622160531,568.46946502797,662.720821096263
"Pip4p1",1449.24799635688,1338.39552279539,1663.7025013179,1703.06034367188
"Pnp",225.414948809727,326.464386030317,196.743020591817,204.858145552548
"Gm8518",691.130739275106,827.549257611734,533.110120313312,524.889995056299
"Rnase12",2.12655612084648,0,1.81329972895684,0.94404675369838
"Rnase4",38.2780101752366,33.6225779632552,62.558840649011,57.5868519756012
"Rnase1",2.12655612084648,1.08459928913727,2.71994959343526,0.94404675369838
"AC125117.1",1.06327806042324,4.33839715654906,4.5332493223921,0.94404675369838
"Gm7107",855.938838640708,1048.80751259574,982.808453094608,961.03959526495
"Gm7247",32.9616198731204,41.2147729872161,39.8925940370505,49.0904311923157
"Gm5622",8.50622448338592,8.67679431309812,4.5332493223921,7.55237402958704
"Ang4",3.18983418126972,5.42299644568633,0.906649864478421,3.77618701479352
"AY358078",19.1390050876183,19.5227872044708,15.4130476961332,16.0487948128725
"Mettl17",423.184668048449,785.24988533538,376.259693758545,727.860047101451
"Slc39a2",29.7717856918507,20.607386493608,71.6253392937952,37.7618701479352
"Ndrg2",294.528022737237,317.787591717219,684.520647681208,692.930317214611
"Arhgef40",269.00934928708,204.989265646943,264.741760427699,257.724763759658
"Zfp219",2683.71382450826,3130.15354845015,2272.06456038292,2953.92229232223
"Gm49086",1.06327806042324,0,3.62659945791368,2.83214026109514
"Gm49256",1.06327806042324,1.08459928913727,5.43989918687053,5.66428052219028
"Olfr221",7.44294642296268,6.50759573482359,29.9194455277879,11.3285610443806
"Gm8586",3.18983418126972,1.08459928913727,7.25319891582737,4.7202337684919
"Gm49258",1.06327806042324,2.16919857827453,0.906649864478421,0.94404675369838
"Hnrnpc",15819.450982977,19389.3814919069,15015.9350554916,15087.7552176075
"Rpgrip1",415.741721625487,370.932956884945,421.592186982466,409.716291105097
"Supt16",7980.96512153684,7842.73745975157,7598.63251419365,8228.31150523508
"Gm26590",0,3.2537978674118,1.81329972895684,1.88809350739676
"Chd8",3196.21384963226,3198.4833036658,2836.0007760885,3812.06079143406
"Gm43766",12.7593367250789,13.0151914696472,9.06649864478421,13.2166545517773
"Rab2b",192.453328936606,207.158464225218,191.303121404947,285.102119616911
"Tox4",3946.88816029107,3213.66769371372,4063.60469259228,3364.58263018103
"Mettl3",972.899425287264,1470.71663607013,1013.63454848687,1336.77020323691
"Sall2",350.881759939669,1457.70144460048,361.75329592689,1097.92637455122
"Olfr1513",6.37966836253944,7.59219502396086,1.81329972895684,2.83214026109514
"Gm4742",699.636963758492,843.818246948793,768.839085077701,742.964795160625
"Gm43512",3.18983418126972,1.08459928913727,4.5332493223921,1.88809350739676
"Gm36448",24.4553953897345,18.4381879153335,19.0396471540468,14.1607013054757
"Gm5408",143.542538157137,100.867733889766,155.03712682581,115.173703951202
"AC126250.1",123.340255009096,107.375329624589,111.517933330846,119.893937719694
"Rps19-ps2",2133.99906726944,2387.20303539112,2133.34713111772,1905.08634896333
"Gm6755",140.352703975868,139.913308298707,145.970628181026,92.5165818624412
"Rps19-ps1",2179.72002386764,2281.99690434481,2077.13483952006,1905.08634896333
"Gm43650",0,3.2537978674118,3.62659945791368,0.94404675369838
"Gm18711",48.910790779469,46.6377694329024,72.5319891582737,59.4749454829979
"Gm43647",51.0373469003155,62.9067587699614,46.2391430883995,45.3142441775222
"Gm30275",3.18983418126972,1.08459928913727,0,2.83214026109514
"Gm43434",35.0881759939669,19.5227872044708,23.5728964764389,20.7690285813644
"Trac",0,0,1.81329972895684,0.94404675369838
"Dad1",1447.12144023603,2111.71481595026,1140.56552951385,1344.32257726649
"Abhd4",1804.38286853824,2125.81460670904,2156.01337772969,2773.60936236584
"Olfr49",7.44294642296268,0,16.3196975606116,2.83214026109514
"Gm43305",24.4553953897345,27.1149822284316,15.4130476961332,34.92972988684
"Oxa1l",2341.33828905197,2501.08596075053,2570.35236579632,2372.38949204403
"Slc7a7",2559.31029143874,5198.48439283491,2853.22712351359,5328.19987787365
"Mrpl52",578.423264870243,749.45810879385,512.257173430308,530.554275578489
"Mmp14",1126.01146598821,1613.88374223625,939.289259599644,1324.49759543883
"Gm10366",4.25311224169296,2.16919857827453,1.81329972895684,1.88809350739676
"Lrp10",1506.66501161973,1020.60793107817,1472.39937991296,1146.07275898983
"Rem2",48.910790779469,87.8525424201185,32.6393951212232,83.0761143254574
"Prmt5",8170.22861629217,10095.4501832897,8119.95618626874,8800.4038379763
"Haus4",2627.36008730583,2915.40288920097,2431.63493653112,2312.91454656103
"Ajuba",9244.13945731965,10125.8189633855,5507.89792670641,6494.09761869115
"4931414P19Rik",416.80499968591,390.455744089416,345.433598366278,404.996057336605
"Psmb5",2788.97835249016,3071.58518683674,2465.18098151683,2148.65041141751
"Psmb11",8.50622448338592,8.67679431309812,6.34654905134895,8.49642078328542
"Cdh24",276.452295710042,425.162921341808,189.48982167599,451.254348267825
"Acin1",3603.44934677436,3554.23187050282,3556.78741834885,4448.34830342676
"1700123O20Rik",928.241746749488,1164.85963653342,724.413241718258,805.271880904718
