"","LIF_HTKO_17","LIF_HTKO_25","LIF_TGA_20","LIF_TGA_22"
"Cyct",1024.08323172135,1501.38551422888,710.639284069646,742.52931211533
"Rbm45",997.067021156569,1287.5330748861,1131.26091437033,868.593057269238
"Osbpl6",352.054993922345,232.409882426249,247.763426067525,549.970404682436
"Prkra",420.439776914455,486.0282712336,400.454839806814,935.088219548223
"Pjvk",3.37702632059803,4.41843882939636,0.960323356850873,0
"Fkbp7",75.9830922134557,89.2524643538065,80.6671619754734,210.568013883452
"Plekha3",1447.90003495641,1538.50040039581,1500.98540675792,2465.86226784568
"Ttn",408.620184792362,827.131748862999,1176.39611214232,177.320432743959
"Ccdc141",472.783684883725,328.731848907089,445.590037578805,556.896984086497
"Sestd1",1637.85776549005,1961.78684025199,1862.06698893384,997.427434184771
"Gm13651",1263.85210048381,1139.95721798426,704.877343928541,658.025043385787
"Gm13943",0,1.76737553175855,2.88097007055262,0
"Gm13649",0.844256580149508,2.65106329763782,0,0
"Zfp385b",48.122625068522,53.9049537186356,43.2145510582893,23.5503699738071
"Cwc22",2025.37153577867,2100.52581949503,2273.08538566602,1660.99374109381
"4930440I19Rik",18.5736447632892,23.8595696787404,17.2858204233157,11.0825270464975
"Gm14460",0.844256580149508,0.883687765879273,1.92064671370175,1.38531588081218
"Ube2e3",731.970454989624,792.667925993708,1022.74437504618,886.602163719797
"Gm37004",2.53276974044852,0.883687765879273,0.960323356850873,4.15594764243655
"Itga4",37.1472895265784,83.9503377585309,25.9287306349736,8.31189528487309
"Cerkl",79.3601185340538,87.485088822048,47.0558444856928,96.9721116568528
"Itprid2",941.346086866702,929.639529704995,933.434302859049,2030.87308127066
"Ppp1r1c",0.844256580149508,1.76737553175855,0.960323356850873,1.38531588081218
"Pde1a",54.0324211295685,83.0666499926516,121.961066320061,22.1650540929949
"Prdx6b",2585.95790499794,2651.06329763782,2340.30802064558,2436.77063434863
"Dnajc10",2165.51812808349,2381.53852904464,2474.7532906047,2539.28400952873
"Frzb",2.53276974044852,5.30212659527564,2.88097007055262,0
"Nckap1",5822.83763329116,5044.97345540477,4874.60135937503,5193.54923716487
"Gm13688",1.68851316029902,2.65106329763782,2.88097007055262,0
"Nup35",870.428534134143,926.988466407357,1055.39536917911,1086.08765055675
"Gm4735",26001.4141554446,35388.1602724014,35936.2603367165,14627.5503854958
"Gm13700",130.015513343024,171.435426580579,199.747258224982,76.19237344467
"Zfp804a",12.6638487022426,12.3716287223098,14.4048503527631,8.31189528487309
"Gm13675",314.063447815617,509.004153146461,604.043391459199,336.63175903736
"Gm13676",762.363691875006,700.764398342263,704.877343928541,489.0165059267
"Gm13678",23.6391842441862,23.8595696787404,32.6509941329297,16.6237905697462
"Gm28675",5.06553948089705,3.53475106351709,1.92064671370175,2.77063176162436
"Gm13680",9366.18250017864,6392.59729837066,6168.15692105316,8235.70291142843
"Gm13679",5.06553948089705,6.18581436115491,1.92064671370175,0
"Gm13683",2.53276974044852,8.83687765879272,6.72226349795611,4.15594764243655
"Gm13685",138.458079144519,198.829747322836,200.707581581833,92.8161640144162
"Zc3h15",3321.30538630817,3060.21073323992,3278.54394028888,3619.83039656223
"Itgav",1352.49904139951,1216.83805361576,1401.11177764542,2460.32100432244
"Fam171b",510.775230990452,863.362947264049,525.296876197428,145.458167485279
"Zswim2",45.5898553280734,21.2085063811025,32.6509941329297,4.15594764243655
"Gm13698",249.899947724254,273.059519656695,249.684072781227,150.999431008528
"Gm13693",238.924612182311,279.24533401785,242.00148592642,127.449061034721
"Gm13695",254.965487205151,271.292144124937,258.326982992885,159.311326293401
"Gm13696",263.408053006647,281.896397315488,268.890539918245,114.981218107411
"Gm13694",273.539131968441,296.919089335436,238.160192499017,150.999431008528
"Gm13697",256.65400036545,268.641080827299,270.811186631946,126.063745153909
"Gm13691",278.604671449338,260.687890934385,247.763426067525,119.137165749848
"Calcrl",29.5489803052328,43.3007005280844,18.2461437801666,6.92657940406091
"Tfpi",2671.22781959304,1219.4891169134,2173.21175655353,5923.61070635289
"Gm13710",321.661757036963,267.75739306142,257.366659636034,220.265225049137
"Ctnnd1",943.034600027001,1040.98418820578,1132.22123772718,1752.42458922741
"Gm28635",10.9753355419436,7.06950212703418,17.2858204233157,29.0916334970558
