"","gene1","gene2","correlation","pvalue"
"9017","Stip1","Ascc2",0.289152877943445,0.000736542664529984
"14094","Stip1","Nat10",0.288946080518384,0.000743324096285556
"17382","Stip1","Efhb",0.288878410932324,0.000745555576286918
"12893","Stip1","Adck5",0.288857681247502,0.000746240390186216
"2556","Stip1","Atg2b",0.288819268058086,0.000747510912720104
"19416","Stip1","Fgf10",0.288734902332833,0.00075030829539911
"3719","Stip1","Mybpc1",0.288524173903643,0.000757337617404005
"11274","Stip1","Nlk",0.288513558016022,0.000757693328335526
"4085","Stip1","Polr1a",0.288465583328055,0.000759302749141566
"18928","Stip1","Dnajc7",0.288410380072523,0.000761158550801567
"5581","Stip1","Prkag1",0.288315313110236,0.000764364235192464
"7076","Stip1","Slc25a44",0.288312455912396,0.000764460772206875
"7407","Stip1","Umps",0.287895045065375,0.000778684788843451
"7103","Stip1","Vmp1",0.287631029501482,0.000787806539720318
"8818","Stip1","Pemt",0.287558821721965,0.000790318338560056
"7402","Stip1","Trrap",0.28751148743081,0.000791968879935331
"8290","Stip1","Prdx6",0.287119630045482,0.000805754843065438
"22709","Stip1","Atg9a",0.287037928700472,0.000808656771085249
"15060","Stip1","Exosc9",0.287001984208306,0.000809936507575452
"14795","Stip1","Cdca7",0.286343340035756,0.000833717609303843
"8555","Stip1","Nubp2",0.286043248445917,0.000844763630300975
"18837","Stip1","Anp32e",0.285951866041341,0.000848153862712851
"1327","Stip1","Gm3286.2",0.285923064835611,0.000849224952397936
"6520","Stip1","Kpna3",0.285798859584942,0.000853858247364568
"18600","Stip1","AU018829.2",0.28552621729247,0.000864110136433067
"13503","Stip1","Lrrc40",0.285438913212018,0.000867416712478175
"12377","Stip1","Psmd3",0.284802422839521,0.00089187596494771
"12445","Stip1","Sephs1",0.284348873626776,0.000909688928459321
"4990","Stip1","Sap30bp",0.283953910722063,0.000925465778274486
"19174","Stip1","Zfp820",0.283886989555822,0.000928163648256211
"2355","Stip1","Col4a1",0.283790736546663,0.000932056637950015
"22891","Stip1","Gm13247",0.282627643538624,0.000980295142669836
"19705","Stip1","Rrnad1",0.282491454043498,0.000986090499351687
"5513","Stip1","Fxr1",0.282306819848279,0.000993997428405694
